Name:		Lpr-c-02.txt
Optimal value:	-1
#Vehicles:	4
Capacity:	10000
Depot Node:	1
#Nodes:		53
#Edges:		77
#Arcs:		24
#Required N:	0
#Required E:	77
#Required A:	23

ReN.	DEMAND	S. COST

ReE.	From N.	To N.	T. COST	DEMAND	S. COST
E1	1	2	38	289	327
E2	1	10	45	330	375
E3	2	11	41	326	367
E4	3	4	15	120	135
E5	3	12	35	202	237
E6	4	5	37	515	552
E7	4	13	37	432	469
E8	5	6	38	388	426
E9	6	7	39	147	186
E10	6	8	18	459	477
E11	7	9	16	675	691
E12	8	9	43	139	182
E13	8	17	21	179	200
E14	9	18	21	83	104
E15	10	11	37	351	388
E16	10	24	34	567	601
E17	12	13	16	288	304
E18	12	20	18	503	521
E19	13	14	22	261	283
E20	13	20	22	395	417
E21	13	22	29	417	446
E22	14	15	15	543	558
E23	15	16	21	222	243
E24	15	23	17	312	329
E25	16	17	16	278	294
E26	16	30	41	223	264
E27	17	18	40	76	116
E28	17	31	31	414	445
E29	18	32	33	502	535
E30	19	20	18	257	275
E31	19	25	24	362	386
E32	20	21	15	119	134
E33	20	25	33	506	539
E34	20	26	19	267	286
E35	21	22	20	384	404
E36	21	27	18	217	235
E37	22	23	23	191	214
E38	22	28	14	237	251
E39	23	29	21	250	271
E40	24	25	36	656	692
E41	24	35	39	357	396
E42	25	33	14	558	572
E43	27	28	21	561	582
E44	28	29	20	568	588
E45	29	30	21	451	472
E46	29	39	32	168	200
E47	30	31	22	209	231
E48	31	32	40	578	618
E49	31	40	39	260	299
E50	32	42	37	283	320
E51	33	34	36	297	333
E52	33	36	21	296	317
E53	34	37	20	694	714
E54	35	46	39	343	382
E55	36	47	33	361	394
E56	37	38	19	100	119
E57	37	48	43	156	199
E58	38	39	19	698	717
E59	38	49	41	467	508
E60	39	40	37	104	141
E61	39	50	44	148	192
E62	40	41	18	593	611
E63	40	43	25	127	152
E64	41	42	21	500	521
E65	41	44	19	565	584
E66	42	45	24	275	299
E67	43	44	17	292	309
E68	43	51	14	487	501
E69	44	45	19	306	325
E70	44	52	17	479	496
E71	45	53	18	49	67
E72	46	47	38	430	468
E73	47	48	38	368	406
E74	48	49	21	516	537
E75	50	51	37	667	704
E76	51	52	20	366	386
E77	52	53	22	217	239

EDGE	FROM N.	TO N.	T. COST

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A2	2	3	24	391	415
A3	3	2	24	171	195
A4	5	15	41	53	94
A5	11	12	21	329	350
A6	11	24	49	263	312
A7	11	19	19	71	90
A8	12	11	21	399	420
A9	14	22	21	184	205
A10	15	5	41	282	323
A11	19	11	19	115	134
A12	21	13	21	87	108
A13	22	29	28	63	91
A14	25	26	18	268	286
A15	26	25	18	208	226
A16	26	27	19	376	395
A17	27	26	19	81	100
A18	27	34	14	224	238
A19	35	36	37	374	411
A20	36	35	37	226	263
A21	36	37	42	134	176
A22	37	36	42	230	272
A23	49	50	21	19	40
A24	50	49	21	194	215

ARC	FROM N.	TO N.	T. COST
NrA1	24	11	49
