Name:		Lpr-a-03.txt
Optimal value:	-1
#Vehicles:	7
Capacity:	10000
Depot Node:	1
#Nodes:		146
#Edges:		33
#Arcs:		436
#Required N:	0
#Required E:	33
#Required A:	271

ReN.	DEMAND	S. COST

ReE.	From N.	To N.	T. COST	DEMAND	S. COST
E1	6	7	43	299	342
E2	9	27	56	467	523
E3	9	28	32	193	225
E4	10	30	49	496	545
E5	15	24	21	516	537
E6	19	20	13	14	27
E7	19	36	31	237	268
E8	23	24	19	241	260
E9	29	30	32	462	494
E10	34	35	38	220	258
E11	43	56	19	237	256
E12	45	46	16	338	354
E13	45	58	21	302	323
E14	53	64	17	259	276
E15	60	61	17	384	401
E16	1	79	13	275	288
E17	69	70	17	386	403
E18	70	71	17	257	274
E19	72	83	21	108	129
E20	73	74	18	420	438
E21	80	94	16	37	53
E22	82	96	19	322	341
E23	88	89	35	99	134
E24	90	104	17	351	368
E25	92	93	18	642	660
E26	94	108	21	35	56
E27	97	110	19	317	336
E28	99	100	21	369	390
E29	105	118	20	413	433
E30	108	121	13	109	122
E31	112	126	25	271	296
E32	120	121	14	465	479
E33	127	135	16	310	326

EDGE	FROM N.	TO N.	T. COST

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A166	2	68	39	49	88
A167	2	13	17	45	62
A168	3	4	19	24	43
A169	3	22	42	231	273
A170	4	5	17	299	316
A171	4	14	17	342	359
A172	5	4	17	317	334
A173	5	6	16	104	120
A174	5	15	20	96	116
A175	6	16	23	133	156
A176	7	8	37	172	209
A177	7	17	24	345	369
A178	8	9	43	393	436
A179	9	10	36	129	165
A180	11	30	39	251	290
A181	12	68	22	319	341
A182	12	13	38	369	407
A183	13	21	14	296	310
A184	14	15	21	182	203
A185	14	23	22	308	330
A186	15	5	20	134	154
A187	15	14	21	134	155
A188	16	17	34	285	319
A189	16	25	18	83	101
A190	17	7	24	339	363
A191	17	16	34	166	200
A192	17	26	14	381	395
A193	18	8	20	238	258
A194	18	27	21	382	403
A195	19	12	20	39	59
A196	20	21	25	122	147
A197	21	22	19	116	135
A198	22	3	42	36	78
A199	22	21	19	363	382
A200	22	23	16	327	343
A201	22	32	15	327	342
A202	23	14	22	73	95
A203	23	33	22	341	363
A204	25	16	18	12	30
A205	25	24	21	53	74
A206	25	34	18	19	37
A207	26	25	44	309	353
A208	26	27	37	280	317
A209	26	35	23	202	225
A210	27	18	21	27	48
A211	27	26	37	66	103
A212	27	28	37	271	308
A213	27	46	35	164	199
A214	28	27	37	106	143
A215	28	29	40	299	339
A216	29	28	40	286	326
A217	29	48	41	272	313
A218	30	11	39	141	180
A219	30	49	37	257	294
A220	31	32	17	216	233
A221	31	38	15	381	396
A222	32	22	15	119	134
A223	32	31	17	83	100
A224	32	39	22	71	93
A225	33	23	22	181	203
A226	33	32	21	229	250
A227	33	40	13	170	183
A228	34	25	18	262	280
A229	34	33	37	35	72
A230	34	42	18	120	138
A231	35	26	23	383	406
A232	35	44	17	123	140
A233	36	37	12	138	150
A234	37	36	12	349	361
A235	37	38	22	130	152
A236	38	31	15	43	58
A237	38	37	22	394	416
A238	38	39	22	184	206
A239	38	52	26	101	127
A240	39	38	22	250	272
A241	40	33	13	279	292
A242	40	39	17	267	284
A243	41	42	25	394	419
A244	42	55	20	357	377
A245	44	45	22	160	182
A246	44	57	21	46	67
A247	45	44	22	35	57
A248	46	59	23	140	163
A249	48	47	35	380	415
A250	48	72	53	77	130
A251	48	74	36	351	387
A252	50	36	26	103	129
A253	50	60	19	126	145
A254	51	50	18	283	301
A255	51	52	23	325	348
A256	51	61	24	122	146
A257	52	38	26	68	94
A258	52	51	23	64	87
A259	53	40	23	143	166
A260	54	53	18	389	407
A261	54	55	18	26	44
A262	55	42	20	319	339
A263	55	54	18	122	140
A264	56	57	19	113	132
A265	56	67	25	211	236
A266	57	44	21	85	106
A267	57	58	18	89	107
A268	57	1	21	381	402
A269	58	57	18	233	251
A270	58	69	20	218	238
A271	59	46	23	391	414
A272	59	58	18	184	202
A273	59	70	13	201	214
A274	60	50	19	325	344
A275	60	87	35	230	265
A276	61	51	24	330	354
A277	62	52	13	384	397
A278	62	63	21	17	38
A279	63	39	33	23	56
A280	63	62	21	106	127
A281	64	63	22	248	270
A282	64	65	18	277	295
A283	64	78	22	340	362
A284	65	54	18	161	179
A285	65	64	18	96	114
A286	66	55	25	201	226
A287	66	65	20	259	279
A288	66	67	13	398	411
A289	67	56	25	85	110
A290	1	69	18	126	144
A291	69	58	20	36	56
A292	70	80	25	289	314
