Name:		Lpr-b-02.txt
Optimal value:	-1
#Vehicles:	3
Capacity:	10000
Depot Node:	1
#Nodes:		53
#Edges:		9
#Arcs:		108
#Required N:	0
#Required E:	9
#Required A:	92

ReN.	DEMAND	S. COST

ReE.	From N.	To N.	T. COST	DEMAND	S. COST
E1	9	18	21	98	119
E2	10	11	39	790	829
E3	14	15	15	539	554
E4	18	32	35	193	228
E5	20	21	15	215	230
E6	24	35	39	421	460
E7	31	40	40	293	333
E8	45	53	17	134	151
E9	49	50	21	318	339

EDGE	FROM N.	TO N.	T. COST

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A17	28	2	36	120	156
A18	28	10	46	202	248
A19	2	28	36	139	175
A20	2	11	41	159	200
A21	3	2	26	53	79
A22	3	4	14	349	363
A23	3	12	35	201	236
A24	4	3	14	76	90
A25	4	5	38	125	163
A26	5	4	38	287	325
A27	5	6	38	212	250
A28	7	9	16	394	410
A29	8	6	18	95	113
A30	9	7	16	330	346
A31	9	8	40	262	302
A32	10	24	36	384	420
A33	11	24	51	58	109
A34	12	3	35	71	106
A35	12	11	21	263	284
A36	13	4	35	31	66
A37	13	12	17	75	92
A38	13	20	23	399	422
A39	13	21	20	298	318
A40	13	22	29	96	125
A41	14	13	22	100	122
A42	15	5	42	130	172
A43	15	16	23	113	136
A44	16	30	39	142	181
A45	17	8	21	55	76
A46	17	18	40	191	231
A47	19	20	17	365	382
A48	19	25	25	392	417
A49	20	12	18	98	116
A50	20	25	33	158	191
A51	21	22	20	365	385
A52	21	27	18	76	94
A53	22	14	21	227	248
A54	22	23	22	186	208
A55	22	29	29	162	191
A56	23	15	16	395	411
A57	23	29	21	267	288
A58	24	25	36	86	122
A59	25	26	17	247	264
A60	26	20	19	120	139
A61	27	26	19	94	113
A62	27	1	20	343	363
A63	27	34	14	148	162
A64	1	22	15	232	247
A65	1	27	20	291	311
A66	29	1	19	209	228
A67	29	39	33	180	213
A68	30	29	20	315	335
A69	31	30	21	331	352
A70	32	42	40	390	430
A71	33	25	15	398	413
A72	34	27	14	143	157
A73	34	33	36	376	412
A74	35	36	40	230	270
A75	35	46	39	150	189
A76	36	33	21	81	102
A77	36	47	35	338	373
A78	37	34	21	319	340
A79	37	38	19	187	206
A80	38	37	19	293	312
A81	38	39	19	180	199
A82	39	29	33	263	296
A83	39	40	38	181	219
A84	40	41	17	320	337
A85	41	42	22	312	334
A86	41	44	19	121	140
A87	42	32	40	347	387
A88	42	41	22	374	396
A89	42	45	24	361	385
A90	43	40	25	39	64
A91	43	51	14	250	264
A92	44	43	16	172	188
A93	45	42	24	297	321
A94	45	44	19	376	395
A95	46	47	38	42	80
A96	47	46	38	238	276
A97	47	48	36	388	424
A98	48	37	43	387	430
A99	48	47	36	17	53
A100	49	38	45	316	361
A101	49	48	21	177	198
A102	50	39	41	98	139
A103	50	51	36	230	266
A104	51	50	36	374	410
A105	51	52	20	48	68
A106	52	44	16	362	378
A107	52	53	21	74	95
A108	53	52	21	365	386

ARC	FROM N.	TO N.	T. COST
NrA1	2	3	26
NrA2	4	13	35
NrA3	6	5	38
NrA4	6	7	41
NrA5	7	6	41
NrA6	10	28	46
NrA7	11	19	19
NrA8	16	17	16
NrA9	24	10	36
NrA10	31	17	31
NrA11	32	31	39
NrA12	34	37	21
NrA13	36	37	40
NrA14	46	35	39
NrA15	48	49	21
NrA16	52	51	20
